Strategy,Trades,Win Rate (%),Total P&L (pts),Final Capital (₹),Total Return (%),CAGR (%),Avg Risk (%),Profit Factor,Max DD (pts),Max Cap DD (%)
Original (Fixed 2%),2392,22.5752508361204,6579.75000000053,77539612.78120671,77439.61278120671,93.51523438528157,2.0,1.5311818842335323,626.2499999999873,44.705258235012415
Dynamic (Loss Protection),2392,22.5752508361204,6579.75000000053,77093120.37891524,76993.12037891524,93.40437844048,1.6117474916387962,1.5311818842335323,626.2499999999873,44.70521364840332
Smart (Aggressive),2392,22.5752508361204,6579.75000000053,787126988440.3661,787126888.440366,383.35391919708934,2.0488147993311023,1.5311818842335323,626.2499999999873,89.87388436528347
Smart (Conservative),2392,22.5752508361204,6579.75000000053,303525944882.7339,303525844.8827339,339.7448550279061,1.9307809782608696,1.5311818842335323,626.2499999999873,88.85845348929678
