,total_trades,wins,losses,win_rate,year_pl,cumulative_pl,avg_win,avg_loss,max_win,max_loss,profit_factor,max_drawdown,year_return,trades_per_month,gross_profit,gross_loss,ema_exits,sl_exits,rr_achieved
2015,231,93,138,40.25974025974026,632.2499999999054,632.2499999999054,13.195161290322137,-4.310869565217778,64.54999999999927,-8.25,2.0627836611192616,44.05000000000928,0.6322499999999126,19.25,1227.1499999999587,594.9000000000533,97,133,107
2016,239,94,145,39.33054393305439,633.599999999903,1265.8499999998085,12.199999999999664,-3.5393103448280367,127.74999999999818,-7.75,2.234606391270114,41.60000000000673,0.6296192324030219,19.916666666666668,1146.7999999999683,513.2000000000653,104,135,122
2017,242,86,156,35.53719008264463,145.34999999991487,1411.1999999997233,8.681395348836727,-3.8541666666669463,34.75,-9.450000000000728,1.2417463617462026,116.10000000003129,0.14353308642540283,20.166666666666668,746.5999999999585,601.2500000000437,92,147,99
2018,242,87,155,35.9504132231405,277.9999999999163,1689.1999999996397,11.92356321839039,-4.899032258064824,43.30000000000109,-10.600000000000364,1.3661025877393809,110.1000000000131,0.274131456880417,20.166666666666668,1037.349999999964,759.3500000000477,94,146,105
2019,233,87,146,37.33905579399141,457.1999999999225,2146.399999999562,14.431034482758307,-5.467808219178426,72.45000000000073,-11.850000000000364,1.5727170236751769,65.35000000000764,0.4496052678159785,19.416666666666668,1255.4999999999727,798.3000000000502,88,143,98
2020,242,91,151,37.60330578512397,747.6499999998869,2894.049999999449,19.205494505494123,-6.622847682119724,100.94999999999982,-11.600000000000364,1.7476126193688597,182.55000000006476,0.7319396474079317,20.166666666666668,1747.6999999999653,1000.0500000000784,102,140,109
2021,243,76,167,31.275720164609055,447.45000000009713,3341.499999999546,25.49276315789513,-8.922155688622352,155.20000000000073,-17.899999999997817,1.3003020134228975,266.4999999999636,0.43486479538914186,20.25,1937.4500000000298,1489.9999999999327,83,160,89
2022,237,86,151,36.28691983122363,834.7000000002809,4176.199999999827,26.441860465117546,-9.531788079469061,222.75000000000364,-17.349999999998545,1.5799346904748006,136.34999999997854,0.8077103583751709,19.75,2274.000000000109,1439.2999999998283,94,143,101
2023,235,87,148,37.02127659574468,461.0000000003529,4637.20000000018,18.62126436781784,-7.831418918917562,88.80000000000291,-16.69999999999709,1.397739528062148,164.8499999999658,0.4425195006156537,19.583333333333332,1620.050000000152,1159.0499999997992,92,141,99
2024,230,66,164,28.695652173913043,112.7000000003427,4749.900000000523,32.19090909091072,-12.267682926827835,114.5,-22.399999999997817,1.056016700631421,369.8999999999214,0.107705481416104,19.166666666666668,2124.6000000001077,2011.899999999765,70,159,74
2025,27,3,24,11.11111111111111,-231.94999999997162,4517.950000000551,18.616666666668607,-11.991666666665727,24.150000000001455,-22.94999999999709,0.194058373870779,222.84999999997308,-0.22143219229800395,2.25,55.85000000000582,287.79999999997744,4,23,5
