,total_trades,wins,losses,win_rate,year_pl,cumulative_pl,avg_win,avg_loss,max_win,max_loss,profit_factor,max_drawdown,year_return,year_start_capital,year_end_capital,trades_per_month,gross_profit,gross_loss,tp_exits,sl_exits,rr_achieved
2015,230.0,109.0,121.0,47.391304347826086,433.40000000003965,433.40000000003965,8.910091743120123,-4.444628099173999,16.5,-8.25,1.805875790256594,37.30000000000018,88.88361041850035,100000.0,188883.61041850035,19.166666666666668,971.2000000000935,537.8000000000538,109.0,121.0,109.0
2016,238.0,121.0,117.0,50.84033613445378,436.550000000032,869.9500000000717,7.2702479338849955,-3.7876068376072856,14.80000000000291,-7.75,1.9851066230395586,29.750000000006366,93.13923106851541,188883.61041850035,364808.35277674184,19.833333333333332,879.7000000000844,443.1500000000524,121.0,117.0,121.0
2017,240.0,104.0,136.0,43.333333333333336,255.40000000003238,1125.350000000104,7.6298076923083915,-3.9566176470591206,17.799999999999272,-8.649999999999636,1.4746329678498666,86.70000000000618,37.5865439285014,364808.35277674184,501927.20454801427,20.0,793.5000000000728,538.1000000000404,103.0,135.0,103.0
2018,241.0,105.0,136.0,43.56846473029046,387.30000000004475,1512.6500000001488,10.21333333333411,-5.0375000000002705,20.299999999999272,-10.600000000000364,1.5653189315428755,65.70000000000255,55.54696185690493,501927.20454801427,780732.5174077289,20.083333333333332,1072.4000000000815,685.1000000000367,105.0,136.0,105.0
2019,232.0,94.0,138.0,40.51724137931034,362.1500000000178,1874.8000000001666,11.81276595744756,-5.422101449275744,23.0,-11.5,1.4839959906448277,69.30000000000655,47.21562583766041,780732.5174077289,1149360.2616199092,19.333333333333332,1110.4000000000706,748.2500000000528,93.0,138.0,93.0
2020,241.0,107.0,134.0,44.398340248962654,577.6999999999907,2452.5000000001573,14.00560747663613,-6.872388059702053,24.599999999998545,-11.600000000000364,1.6273210989249034,91.5500000000302,94.72307062281908,1149360.2616199092,2238069.593944754,20.083333333333332,1498.6000000000658,920.9000000000751,107.0,134.0,107.0
2021,243.0,89.0,154.0,36.62551440329218,216.00000000000182,2668.500000000159,18.40112359550489,-9.231818181817749,35.299999999995634,-17.899999999997817,1.1519307870858915,257.649999999996,18.31866048772172,2238069.593944754,2648053.9643384255,20.25,1637.6999999999352,1421.6999999999334,89.0,154.0,89.0
2022,237.0,104.0,133.0,43.88185654008439,639.849999999884,3308.350000000043,18.868269230766707,-9.943233082705664,34.69999999999709,-17.349999999998545,1.4838368180271124,115.74999999998545,55.17685660488745,2648053.9643384255,4109166.903061476,19.75,1962.2999999997373,1322.4499999998534,104.0,133.0,104.0
2023,234.0,97.0,137.0,41.452991452991455,466.1499999998887,3774.499999999932,16.24020618556389,-8.095985401458456,37.19999999999709,-16.69999999999709,1.4202767885317307,127.24999999997817,34.007276419291635,4109166.903061476,5506582.650315638,19.5,1575.2999999996973,1109.1499999998086,97.0,136.0,97.0
2024,229.0,79.0,150.0,34.49781659388647,-6.200000000033469,3768.2999999998983,23.079113924047455,-12.196333333331882,43.69999999999709,-21.75,0.9966110033069862,306.1499999999651,-2.1943659533988256,5506582.650315638,5385748.075441345,19.083333333333332,1823.249999999749,1829.4499999997824,78.0,150.0,78.0
2025,27.0,6.0,21.0,22.22222222222222,-128.6999999999971,3639.5999999999012,22.516666666663998,-12.561904761903861,28.39999999999418,-21.25,0.5121304018195363,131.04999999999563,-6.724623065574422,5385748.075441345,5023576.8181064855,2.25,135.099999999984,263.7999999999811,6.0,21.0,6.0
