,total_trades,wins,losses,win_rate,year_pl,cumulative_pl,avg_win,avg_loss,max_win,max_loss,profit_factor,max_drawdown,year_return,max_win_streak,max_loss_streak,trades_per_month,gross_profit,gross_loss
2015,231,108,123,46.75324675324675,405.800000000012,405.800000000012,8.759259259259428,-4.391869918699237,16.299999999999272,-8.649999999999636,1.7512032580525867,40.50000000000455,0.4058000000000174,5,7,19.25,946.0000000000182,540.2000000000062
2016,239,123,116,51.46443514644351,448.99999999998,854.799999999992,7.18130081300808,-3.7439655172414983,14.600000000002183,-7.649999999999636,2.033847570803513,30.700000000004366,0.4471853219634432,8,6,19.916666666666668,883.2999999999938,434.3000000000138
2017,242,102,140,42.14876033057851,239.0000000000109,1093.800000000003,7.734313725490264,-3.927857142857114,17.599999999998545,-9.350000000000364,1.4346244771776917,70.89999999998872,0.23697434331337186,6,12,20.166666666666668,788.9000000000069,549.899999999996
2018,242,107,135,44.214876033057855,405.85000000001673,1499.6500000000196,10.181308411215001,-5.063333333333247,20.099999999998545,-10.5,1.5937385706971305,65.95000000000073,0.4014588431733898,6,11,20.166666666666668,1089.400000000005,683.5499999999884
2019,233,98,135,42.06008583690987,400.050000000012,1899.7000000000317,11.660204081632754,-5.501111111111095,22.799999999999272,-11.75,1.5386790547364346,65.65000000000146,0.394139290135486,5,11,19.416666666666668,1142.7000000000098,742.6499999999978
2020,242,112,130,46.28099173553719,652.5999999999685,2552.3,13.843749999999952,-6.9069230769232774,24.399999999997817,-11.5,1.726806994097282,88.00000000002365,0.6404336813552705,7,10,20.166666666666668,1550.4999999999945,897.900000000026
2021,243,89,154,36.62551440329218,224.20000000001892,2776.500000000019,18.49775280898884,-9.234415584415505,35.099999999998545,-17.799999999999272,1.1576541734055417,252.3499999999858,0.21862015771466037,6,9,20.25,1646.3000000000065,1422.0999999999876
2022,237,101,136,42.616033755274266,649.9999999999582,3426.4999999999773,19.764356435643105,-9.89852941176467,34.5,-17.850000000002183,1.4828405883226567,108.54999999999018,0.6324402952036275,5,10,19.75,1996.1999999999534,1346.1999999999953
2023,235,101,134,42.97872340425532,548.4999999999709,3974.999999999948,16.125742574257252,-8.061194029850833,37.0,-16.599999999998545,1.5077763377152056,130.29999999999563,0.5303283007739517,6,10,19.583333333333332,1628.6999999999825,1080.2000000000116
2024,230,74,156,32.17391304347826,-250.30000000004657,3724.6999999999016,23.03581081081029,-12.53173076923082,43.5,-22.299999999999272,0.8719660349369316,388.05000000003565,-0.2407309449387321,5,14,19.166666666666668,1704.6499999999614,1954.950000000008
2025,27,5,22,18.51851851851852,-160.4000000000051,3564.2999999998965,23.140000000000875,-12.55000000000043,28.19999999999709,-22.849999999998545,0.41905106845346035,162.75000000000364,-0.15464011947009185,1,8,2.25,115.70000000000437,276.10000000000946
